,sessionId,timestamp,date,group,day,level,PlayerX,PlayerY
16,knwl8dj88fw72bx0no1q,2022-01-11 17:04:48.311,2022-11-01 17:04:48.000,1,1,1.0,1315.0,1665.0
17,mwb5lwv8ugtooaeu65dx,2022-01-11 17:05:11.212,2022-11-01 11:05:11.000,2,1,1.0,2822.0,1209.0
18,knwl8dj88fw72bx0no1q,2022-01-11 17:04:48.655,2022-11-01 17:04:48.000,1,1,1.0,1382.0,1679.0
19,mwb5lwv8ugtooaeu65dx,2022-01-11 17:05:11.423,2022-11-01 11:05:11.000,2,1,1.0,2822.0,1252.0
20,mwb5lwv8ugtooaeu65dx,2022-01-11 17:05:11.622,2022-11-01 11:05:11.000,2,1,1.0,2822.0,1295.0
21,knwl8dj88fw72bx0no1q,2022-01-11 17:04:49.015,2022-11-01 17:04:49.000,1,1,1.0,1406.0,1747.0
22,mwb5lwv8ugtooaeu65dx,2022-01-11 17:05:11.792,2022-11-01 11:05:11.000,2,1,1.0,2822.0,1329.0
23,mwb5lwv8ugtooaeu65dx,2022-01-11 17:05:11.947,2022-11-01 11:05:11.000,2,1,1.0,2822.0,1358.0
24,mwb5lwv8ugtooaeu65dx,2022-01-11 17:05:12.108,2022-11-01 11:05:12.000,2,1,1.0,2822.0,1391.0
25,mwb5lwv8ugtooaeu65dx,2022-01-11 17:05:12.241,2022-11-01 11:05:12.000,2,1,1.0,2822.0,1415.0
26,mwb5lwv8ugtooaeu65dx,2022-01-11 17:05:12.383,2022-11-01 11:05:12.000,2,1,1.0,2822.0,1444.0
27,mwb5lwv8ugtooaeu65dx,2022-01-11 17:05:12.495,2022-11-01 11:05:12.000,2,1,1.0,2822.0,1468.0
28,mwb5lwv8ugtooaeu65dx,2022-01-11 17:05:32.224,2022-11-01 11:05:32.000,2,1,1.0,590.0,2510.0
29,mwb5lwv8ugtooaeu65dx,2022-01-11 17:05:32.393,2022-11-01 11:05:32.000,2,1,1.0,561.0,2510.0
30,mwb5lwv8ugtooaeu65dx,2022-01-11 17:05:32.562,2022-11-01 11:05:32.000,2,1,1.0,532.0,2510.0
31,mwb5lwv8ugtooaeu65dx,2022-01-11 17:05:32.726,2022-11-01 11:05:32.000,2,1,1.0,494.0,2510.0
32,mwb5lwv8ugtooaeu65dx,2022-01-11 17:05:32.873,2022-11-01 11:05:32.000,2,1,1.0,475.0,2510.0
33,mwb5lwv8ugtooaeu65dx,2022-01-11 17:05:32.998,2022-11-01 11:05:32.000,2,1,1.0,475.0,2510.0
34,mwb5lwv8ugtooaeu65dx,2022-01-11 17:05:33.128,2022-11-01 11:05:33.000,2,1,1.0,475.0,2510.0
35,mwb5lwv8ugtooaeu65dx,2022-01-11 17:05:33.254,2022-11-01 11:05:33.000,2,1,1.0,475.0,2496.0
36,mwb5lwv8ugtooaeu65dx,2022-01-11 17:05:33.374,2022-11-01 11:05:33.000,2,1,1.0,475.0,2467.0
37,mwb5lwv8ugtooaeu65dx,2022-01-11 17:05:50.507,2022-11-01 11:05:50.000,2,1,1.0,225.0,460.0
38,mwb5lwv8ugtooaeu65dx,2022-01-11 17:05:51.612,2022-11-01 11:05:51.000,2,1,3.0,225.0,460.0
39,knwl8dj88fw72bx0no1q,2022-01-11 17:05:33.131,2022-11-01 17:05:33.000,1,2,2.0,2543.0,1605.0
40,knwl8dj88fw72bx0no1q,2022-01-11 17:05:45.501,2022-11-01 17:05:45.000,1,2,2.0,2851.0,294.0
41,knwl8dj88fw72bx0no1q,2022-01-11 17:05:46.843,2022-11-01 17:05:46.000,1,2,2.0,2649.0,216.0
42,knwl8dj88fw72bx0no1q,2022-01-11 17:05:56.967,2022-11-01 17:05:56.000,1,2,4.0,2603.0,699.0
43,v0w8y1sqh1423eitsozu,2022-01-11 17:07:02.842,2022-11-01 17:07:02.000,4,1,1.0,743.0,345.0
44,28sdk6eutjz34yxm7o8n,2022-01-11 17:07:03.401,2022-11-01 17:07:03.000,2,1,1.0,3115.0,1679.0
45,ojbl7oyg3h52gyuf0r64,2022-01-11 17:07:03.770,2022-11-01 18:07:03.000,1,1,3.0,1295.0,979.0
46,v0w8y1sqh1423eitsozu,2022-01-11 17:07:05.780,2022-11-01 17:07:05.000,4,1,1.0,969.0,345.0
47,v0w8y1sqh1423eitsozu,2022-01-11 17:07:08.204,2022-11-01 17:07:08.000,4,1,1.0,1199.0,345.0
48,v0w8y1sqh1423eitsozu,2022-01-11 17:07:10.895,2022-11-01 17:07:10.000,4,1,1.0,1463.0,345.0
49,v0w8y1sqh1423eitsozu,2022-01-11 17:07:14.384,2022-11-01 17:07:14.000,4,1,3.0,1727.0,345.0
50,g0r5srmg9us2bch4lq0z,2022-01-11 17:07:20.568,2022-11-01 11:07:20.000,2,1,3.0,412.0,542.0
51,ojbl7oyg3h52gyuf0r64,2022-01-11 17:07:27.765,2022-11-01 18:07:27.000,1,1,3.0,2356.0,2279.0
52,g0r5srmg9us2bch4lq0z,2022-01-11 17:07:27.648,2022-11-01 11:07:27.000,2,1,3.0,292.0,460.0
53,ojbl7oyg3h52gyuf0r64,2022-01-11 17:07:28.736,2022-11-01 18:07:28.000,1,1,1.0,2155.0,2279.0
54,ojbl7oyg3h52gyuf0r64,2022-01-11 17:07:29.366,2022-11-01 18:07:29.000,1,1,1.0,2030.0,2279.0
55,9l3duazds9mawsglu0sc,2022-01-11 17:07:43.329,2022-11-01 19:07:43.000,3,1,1.0,1694.0,1007.0
56,ojbl7oyg3h52gyuf0r64,2022-01-11 17:07:46.554,2022-11-01 18:07:46.000,1,1,1.0,2481.0,3432.0
57,rw4vjanwlmo422awk874,2022-01-11 17:07:46.510,2022-11-01 18:07:46.000,2,1,3.0,499.0,340.0
58,ojbl7oyg3h52gyuf0r64,2022-01-11 17:07:48.352,2022-11-01 18:07:48.000,1,1,1.0,2582.0,3604.0
59,g0r5srmg9us2bch4lq0z,2022-01-11 17:07:48.892,2022-11-01 11:07:48.000,2,1,3.0,2371.0,1468.0
60,9l3duazds9mawsglu0sc,2022-01-11 17:07:50.266,2022-11-01 19:07:50.000,3,1,1.0,1871.0,1372.0
61,g0r5srmg9us2bch4lq0z,2022-01-11 17:07:49.333,2022-11-01 11:07:49.000,2,1,3.0,2371.0,1343.0
